Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   S/sqrt(B)(gamma cuts(pt+p+eta))  
3.00000e-01   2.00000e+00   1.25960e-09   5.59884e-03   1.68338e-08  
3.00000e-01   2.50000e+00   1.26265e-09   5.55946e-03   1.69343e-08  
3.00000e-01   3.00000e+00   1.13700e-09   5.45126e-03   1.53997e-08  
3.00000e-01   3.50000e+00   1.03169e-09   5.29710e-03   1.41753e-08  
3.00000e-01   4.00000e+00   1.04542e-09   5.12990e-03   1.45960e-08  
3.00000e-01   4.50000e+00   1.04242e-09   4.90154e-03   1.48894e-08  
3.00000e-01   5.00000e+00   1.04023e-09   4.62440e-03   1.52968e-08  
3.00000e-01   5.50000e+00   1.00803e-09   4.34281e-03   1.52964e-08  
3.00000e-01   6.00000e+00   1.02229e-09   4.08303e-03   1.59987e-08  
3.00000e-01   6.50000e+00   9.94877e-10   3.82508e-03   1.60860e-08  
3.00000e-01   7.00000e+00   1.00100e-09   3.59711e-03   1.66901e-08  
3.00000e-01   7.50000e+00   9.26889e-10   3.38120e-03   1.59402e-08  
3.00000e-01   8.00000e+00   8.03010e-10   3.15351e-03   1.42996e-08  
3.00000e-01   8.50000e+00   6.89947e-10   2.91789e-03   1.27727e-08  
3.00000e-01   9.00000e+00   6.83265e-10   2.68891e-03   1.31765e-08  
3.00000e-01   9.50000e+00   6.86370e-10   2.48811e-03   1.37602e-08  
3.50000e-01   0.00000e+00   1.18058e-09   4.02156e-03   1.86164e-08  
3.50000e-01   5.00000e-01   1.18058e-09   4.02156e-03   1.86164e-08  
3.50000e-01   1.00000e+00   1.18058e-09   4.02156e-03   1.86164e-08  
3.50000e-01   1.50000e+00   1.18058e-09   4.02156e-03   1.86164e-08  
3.50000e-01   2.00000e+00   1.18058e-09   4.02156e-03   1.86164e-08  
3.50000e-01   2.50000e+00   1.18058e-09   4.01868e-03   1.86231e-08  
3.50000e-01   3.00000e+00   1.07800e-09   3.99131e-03   1.70633e-08  
3.50000e-01   3.50000e+00   9.75387e-10   3.95299e-03   1.55137e-08  
3.50000e-01   4.00000e+00   9.81505e-10   3.86582e-03   1.57860e-08  
3.50000e-01   4.50000e+00   9.92173e-10   3.76863e-03   1.61620e-08  
3.50000e-01   5.00000e+00   9.85403e-10   3.62326e-03   1.63706e-08  
3.50000e-01   5.50000e+00   9.60544e-10   3.46451e-03   1.63191e-08  
