Table showing signal significance of pions passing various cuts: 
pt    p     eta     mass 
  0.021429   0.000000   0.000000   0.000000 
  0.103448   0.006897   0.000000   0.000000 
  0.038889   0.002525   0.001036   0.000000 
  0.078125   0.007812   0.000000   0.000000 
  0.016667   0.000000   0.000000   0.000000 
  0.157374   0.040000   0.010003   0.000000 
  0.015873   0.005291   0.000000   0.000000 
  0.194957   0.025712   0.006361   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.125933   0.018116   0.006148   0.000000 
  0.123504   0.023077   0.000000   0.000000 
  0.069136   0.019753   0.003704   0.000000 
  0.232088   0.041286   0.019312   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.104575   0.065359   0.006536   0.000000 
  0.091667   0.041667   0.001667   0.000000 
  0.055919   0.029049   0.009089   0.000000 
  0.035714   0.011905   0.000000   0.000000 
  0.116364   0.029091   0.003636   0.000000 
  0.107143   0.000000   0.000000   0.000000 
  0.111355   0.017582   0.008800   0.000000 
  0.182577   0.014965   0.003677   0.000000 
  0.066667   0.024306   0.001389   0.000000 
  0.185494   0.025674   0.006435   0.000000 
  0.026042   0.010417   0.000000   0.000000 
  0.074911   0.029727   0.010702   0.000000 
  0.082265   0.004274   0.001425   0.000000 
  0.049383   0.006173   0.000000   0.000000 
  0.043956   0.000000   0.000000   0.000000 
  0.254902   0.051765   0.018858   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.126984   0.014815   0.003175   0.000000 
  0.044872   0.015385   0.002571   0.000000 
  0.294118   0.110294   0.011029   0.000000 
  0.069600   0.017256   0.006908   0.000000 
  0.063322   0.017270   0.000000   0.000000 
  0.078571   0.000000   0.000000   0.000000 
  0.190920   0.050179   0.010878   0.000000 
  0.091503   0.026144   0.006536   0.000000 
  0.089600   0.016000   0.001422   0.000000 
  0.076705   0.014205   0.007633   0.000000 
  0.088757   0.088757   0.000000   0.000000 
  0.133821   0.028904   0.009011   0.000000 
  0.119097   0.040389   0.010358   0.000000 
  0.080488   0.012195   0.002439   0.000000 
  0.012346   0.000000   0.000000   0.000000 
  0.146450   0.017751   0.011834   0.000000 
  0.192547   0.024468   0.005650   0.000000 
  0.105000   0.025000   0.000000   0.000000 
  0.149354   0.007752   0.001051   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.021164   0.005291   0.005291   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.128349   0.040670   0.006700   0.000000 
  0.066176   0.018382   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.162707   0.019886   0.004651   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.052910   0.021164   0.001323   0.000000 
  0.076555   0.028708   0.000000   0.000000 
  0.115942   0.024845   0.004141   0.000000 
  0.059598   0.009288   0.004653   0.000000 
  0.044226   0.011466   0.001649   0.000000 
  0.035294   0.000000   0.000000   0.000000 
  0.032922   0.002743   0.000000   0.000000 
  0.127901   0.022222   0.003705   0.000000 
  0.070772   0.013787   0.002757   0.000000 
  0.047619   0.031746   0.002646   0.000000 
  0.078947   0.023684   0.000000   0.000000 
  0.043478   0.008696   0.000000   0.000000 
  0.053476   0.021390   0.000000   0.000000 
  0.000000   0.000000   0.000000   0.000000 
  0.081314   0.031569   0.006707   0.000000 
  0.041667   0.000000   0.000000   0.000000 
  0.106366   0.019944   0.004029   0.000000 
  0.012821   0.003205   0.001603   0.000000 
  0.071739   0.024348   0.002609   0.000000 
  0.166886   0.024578   0.005271   0.000000 
  0.087902   0.035917   0.004257   0.000000 
  0.026667   0.000000   0.000000   0.000000 
  0.055402   0.024931   0.002770   0.000000 
  0.133333   0.045833   0.008333   0.000000 
  0.040137   0.004117   0.000000   0.000000 
  0.181364   0.040909   0.025472   0.000000 
  0.080000   0.018667   0.005333   0.000000 
  0.075362   0.027053   0.009662   0.000000 
  0.152381   0.000000   0.000000   0.000000 
