Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))    misID(gamma cuts(pt+p+eta))    S/sqrt(B+misID)(gamma cuts(pt+p+eta))    S/sqrt(misID)(gamma cuts(pt+p+eta)) 
0.00000e+00   6.00000e+00   2.49605e-04   2.72180e-01   4.52395e-01   3.69946e-02   3.71104e-04   1.29773e-03  
0.00000e+00   6.10000e+00   2.48488e-04   2.71250e-01   4.49754e-01   3.62143e-02   3.70525e-04   1.30577e-03  
0.00000e+00   6.20000e+00   2.46066e-04   2.70010e-01   4.44955e-01   3.54447e-02   3.68888e-04   1.30700e-03  
0.00000e+00   6.30000e+00   2.43645e-04   2.67530e-01   4.40217e-01   3.47371e-02   3.67218e-04   1.30725e-03  
0.00000e+00   6.40000e+00   2.42527e-04   2.66290e-01   4.37635e-01   3.40152e-02   3.66610e-04   1.31499e-03  
0.00000e+00   6.50000e+00   2.39174e-04   2.64430e-01   4.31397e-01   3.33568e-02   3.64146e-04   1.30955e-03  
0.00000e+00   6.60000e+00   2.37498e-04   2.63810e-01   4.27863e-01   3.26130e-02   3.63084e-04   1.31511e-03  
0.00000e+00   6.70000e+00   2.34331e-04   2.61330e-01   4.21941e-01   3.19605e-02   3.60748e-04   1.31076e-03  
0.00000e+00   6.80000e+00   2.32468e-04   2.60090e-01   4.18176e-01   3.12964e-02   3.59488e-04   1.31407e-03  
0.00000e+00   6.90000e+00   2.31723e-04   2.59470e-01   4.16303e-01   3.06632e-02   3.59141e-04   1.32331e-03  
0.00000e+00   7.00000e+00   2.29674e-04   2.56680e-01   4.12280e-01   3.00500e-02   3.57698e-04   1.32492e-03  
0.00000e+00   7.10000e+00   2.27998e-04   2.55130e-01   4.08900e-01   2.94605e-02   3.56551e-04   1.32834e-03  
0.00000e+00   7.20000e+00   2.27066e-04   2.53890e-01   4.06754e-01   2.88644e-02   3.56030e-04   1.33651e-03  
0.00000e+00   7.30000e+00   2.26135e-04   2.52960e-01   4.04697e-01   2.83565e-02   3.55470e-04   1.34289e-03  
0.00000e+00   7.40000e+00   2.24459e-04   2.51720e-01   4.01355e-01   2.78052e-02   3.54300e-04   1.34609e-03  
0.00000e+00   7.50000e+00   2.22410e-04   2.49550e-01   3.97381e-01   2.72411e-02   3.52817e-04   1.34754e-03  
0.00000e+00   7.60000e+00   2.20919e-04   2.48000e-01   3.94315e-01   2.66546e-02   3.51813e-04   1.35315e-03  
0.00000e+00   7.70000e+00   2.19243e-04   2.45830e-01   3.91055e-01   2.61850e-02   3.50596e-04   1.35488e-03  
0.00000e+00   7.80000e+00   2.17380e-04   2.43660e-01   3.87535e-01   2.57650e-02   3.49192e-04   1.35427e-03  
0.00000e+00   7.90000e+00   2.15517e-04   2.41490e-01   3.84004e-01   2.53337e-02   3.47788e-04   1.35405e-03  
0.00000e+00   8.00000e+00   2.14400e-04   2.40250e-01   3.81761e-01   2.49509e-02   3.46999e-04   1.35732e-03  
0.00000e+00   8.10000e+00   2.12351e-04   2.38700e-01   3.77910e-01   2.45101e-02   3.45430e-04   1.35638e-03  
0.00000e+00   8.20000e+00   2.10674e-04   2.36840e-01   3.74703e-01   2.40929e-02   3.44166e-04   1.35727e-03  
0.00000e+00   8.30000e+00   2.09557e-04   2.35910e-01   3.72422e-01   2.36719e-02   3.43387e-04   1.36202e-03  
0.00000e+00   8.40000e+00   2.08625e-04   2.34670e-01   3.70430e-01   2.32297e-02   3.42779e-04   1.36882e-03  
0.00000e+00   8.50000e+00   2.06949e-04   2.33740e-01   3.67278e-01   2.28676e-02   3.41481e-04   1.36852e-03  
0.00000e+00   8.60000e+00   2.05459e-04   2.31880e-01   3.64399e-01   2.24689e-02   3.40358e-04   1.37067e-03  
0.00000e+00   8.70000e+00   2.04900e-04   2.30950e-01   3.63025e-01   2.20250e-02   3.40074e-04   1.38065e-03  
0.00000e+00   8.80000e+00   2.02106e-04   2.27540e-01   3.58049e-01   2.16995e-02   3.37759e-04   1.37200e-03  
0.00000e+00   8.90000e+00   2.00802e-04   2.25990e-01   3.55495e-01   2.13147e-02   3.36784e-04   1.37540e-03  
0.00000e+00   9.00000e+00   1.98567e-04   2.23200e-01   3.51398e-01   2.09378e-02   3.34971e-04   1.37227e-03  
0.00000e+00   9.10000e+00   1.96704e-04   2.20720e-01   3.47890e-01   2.05297e-02   3.33497e-04   1.37285e-03  
0.00000e+00   9.20000e+00   1.94469e-04   2.17620e-01   3.43803e-01   2.01629e-02   3.31661e-04   1.36954e-03  
0.00000e+00   9.30000e+00   1.92233e-04   2.14830e-01   3.39735e-01   1.98149e-02   3.29806e-04   1.36563e-03  
0.00000e+00   9.40000e+00   1.91116e-04   2.14210e-01   3.37545e-01   1.94854e-02   3.28950e-04   1.36912e-03  
0.00000e+00   9.50000e+00   1.89998e-04   2.13280e-01   3.35364e-01   1.91638e-02   3.28089e-04   1.37249e-03  
0.00000e+00   9.60000e+00   1.88880e-04   2.11420e-01   3.33176e-01   1.88363e-02   3.27228e-04   1.37623e-03  
0.00000e+00   9.70000e+00   1.87763e-04   2.10180e-01   3.31008e-01   1.85276e-02   3.26355e-04   1.37943e-03  
0.00000e+00   9.80000e+00   1.87390e-04   2.09560e-01   3.30105e-01   1.82450e-02   3.26153e-04   1.38732e-03  
0.00000e+00   9.90000e+00   1.86273e-04   2.07700e-01   3.27958e-01   1.79577e-02   3.25267e-04   1.39003e-03  
1.00000e-02   0.00000e+00   6.49905e-04   4.42680e-01   1.39062e+00   3.09032e-01   5.51119e-04   1.16909e-03  
1.00000e-02   1.00000e-01   6.40964e-04   4.41130e-01   1.37107e+00   3.04362e-01   5.47399e-04   1.16182e-03  
1.00000e-02   2.00000e-01   6.17680e-04   4.38030e-01   1.31074e+00   2.82784e-01   5.39516e-04   1.16155e-03  
1.00000e-02   3.00000e-01   5.92906e-04   4.32760e-01   1.24926e+00   2.62527e-01   5.30469e-04   1.15717e-03  
1.00000e-02   4.00000e-01   5.73347e-04   4.28110e-01   1.19918e+00   2.45001e-01   5.23571e-04   1.15833e-03  
1.00000e-02   5.00000e-01   5.51367e-04   4.21910e-01   1.14727e+00   2.29670e-01   5.14764e-04   1.15051e-03  
1.00000e-02   6.00000e-01   5.35906e-04   4.18810e-01   1.10799e+00   2.16123e-01   5.09120e-04   1.15276e-03  
1.00000e-02   7.00000e-01   5.21005e-04   4.16640e-01   1.07095e+00   2.03877e-01   5.03451e-04   1.15387e-03  
1.00000e-02   8.00000e-01   5.06848e-04   4.14160e-01   1.03639e+00   1.92877e-01   4.97871e-04   1.15408e-03  
1.00000e-02   9.00000e-01   4.90270e-04   4.08270e-01   9.98435e-01   1.82515e-01   4.90654e-04   1.14759e-03  
1.00000e-02   1.00000e+00   4.79652e-04   4.03620e-01   9.71252e-01   1.73002e-01   4.86699e-04   1.15319e-03  
1.00000e-02   1.10000e+00   4.69407e-04   4.00520e-01   9.45465e-01   1.64265e-01   4.82755e-04   1.15818e-03  
1.00000e-02   1.20000e+00   4.59162e-04   3.98350e-01   9.20030e-01   1.55880e-01   4.78702e-04   1.16298e-03  
1.00000e-02   1.30000e+00   4.47986e-04   3.94630e-01   8.94103e-01   1.48553e-01   4.73773e-04   1.16231e-03  
1.00000e-02   1.40000e+00   4.36809e-04   3.91220e-01   8.68523e-01   1.41573e-01   4.68707e-04   1.16092e-03  
1.00000e-02   1.50000e+00   4.26192e-04   3.86260e-01   8.44223e-01   1.34943e-01   4.63849e-04   1.16019e-03  
1.00000e-02   1.60000e+00   4.18182e-04   3.82540e-01   8.24920e-01   1.28970e-01   4.60426e-04   1.16445e-03  
1.00000e-02   1.70000e+00   4.09986e-04   3.78510e-01   8.05714e-01   1.23404e-01   4.56750e-04   1.16709e-03  
1.00000e-02   1.80000e+00   4.04025e-04   3.74790e-01   7.90691e-01   1.18301e-01   4.54365e-04   1.17467e-03  
1.00000e-02   1.90000e+00   3.97878e-04   3.72000e-01   7.75730e-01   1.13570e-01   4.51747e-04   1.18064e-03  
1.00000e-02   2.00000e+00   3.91173e-04   3.67660e-01   7.60047e-01   1.09047e-01   4.48692e-04   1.18457e-03  
1.00000e-02   2.10000e+00   3.85957e-04   3.65490e-01   7.47062e-01   1.04742e-01   4.46540e-04   1.19256e-03  
1.00000e-02   2.20000e+00   3.82045e-04   3.63630e-01   7.36479e-01   1.00669e-01   4.45179e-04   1.20411e-03  
1.00000e-02   2.30000e+00   3.74408e-04   3.58360e-01   7.20311e-01   9.72109e-02   4.41149e-04   1.20085e-03  
1.00000e-02   2.40000e+00   3.69751e-04   3.56810e-01   7.09110e-01   9.37598e-02   4.39089e-04   1.20754e-03  
1.00000e-02   2.50000e+00   3.65467e-04   3.54330e-01   6.98853e-01   9.06332e-02   4.37175e-04   1.21396e-03  
1.00000e-02   2.60000e+00   3.60624e-04   3.52780e-01   6.87860e-01   8.77001e-02   4.34815e-04   1.21774e-03  
1.00000e-02   2.70000e+00   3.55408e-04   3.49990e-01   6.76492e-01   8.50115e-02   4.32112e-04   1.21896e-03  
1.00000e-02   2.80000e+00   3.51310e-04   3.47200e-01   6.67034e-01   8.23739e-02   4.30147e-04   1.22404e-03  
1.00000e-02   2.90000e+00   3.47212e-04   3.44720e-01   6.57655e-01   7.98151e-02   4.28150e-04   1.22900e-03  
1.00000e-02   3.00000e+00   3.40693e-04   3.41310e-01   6.44626e-01   7.76360e-02   4.24335e-04   1.22273e-03  
1.00000e-02   3.10000e+00   3.35477e-04   3.38210e-01   6.33731e-01   7.54215e-02   4.21415e-04   1.22156e-03  
1.00000e-02   3.20000e+00   3.32124e-04   3.36350e-01   6.26050e-01   7.33201e-02   4.19755e-04   1.22656e-03  
1.00000e-02   3.30000e+00   3.28399e-04   3.33870e-01   6.17660e-01   7.11299e-02   4.17856e-04   1.23133e-03  
1.00000e-02   3.40000e+00   3.25791e-04   3.32940e-01   6.11220e-01   6.90296e-02   4.16716e-04   1.24000e-03  
1.00000e-02   3.50000e+00   3.22811e-04   3.31080e-01   6.04348e-01   6.71181e-02   4.15245e-04   1.24603e-03  
1.00000e-02   3.60000e+00   3.19458e-04   3.27360e-01   5.96963e-01   6.53126e-02   4.13466e-04   1.25001e-03  
1.00000e-02   3.70000e+00   3.17036e-04   3.25500e-01   5.91229e-01   6.36093e-02   4.12317e-04   1.25704e-03  
1.00000e-02   3.80000e+00   3.14056e-04   3.23950e-01   5.84645e-01   6.19849e-02   4.10734e-04   1.26143e-03  
1.00000e-02   3.90000e+00   3.11262e-04   3.22400e-01   5.78413e-01   6.04034e-02   4.09267e-04   1.26647e-03  
1.00000e-02   4.00000e+00   3.08281e-04   3.20850e-01   5.71959e-01   5.89091e-02   4.07629e-04   1.27015e-03  
1.00000e-02   4.10000e+00   3.04556e-04   3.18370e-01   5.64316e-01   5.74659e-02   4.05421e-04   1.27046e-03  
1.00000e-02   4.20000e+00   3.01575e-04   3.16510e-01   5.57931e-01   5.60406e-02   4.03744e-04   1.27393e-03  
1.00000e-02   4.30000e+00   2.99154e-04   3.14960e-01   5.52505e-01   5.46453e-02   4.02463e-04   1.27973e-03  
1.00000e-02   4.40000e+00   2.95428e-04   3.12480e-01   5.44950e-01   5.32897e-02   4.00197e-04   1.27977e-03  
1.00000e-02   4.50000e+00   2.92262e-04   3.09690e-01   5.38437e-01   5.20469e-02   3.98295e-04   1.28107e-03  
1.00000e-02   4.60000e+00   2.90213e-04   3.08140e-01   5.33789e-01   5.08087e-02   3.97221e-04   1.28750e-03  
1.00000e-02   4.70000e+00   2.87046e-04   3.06280e-01   5.27346e-01   4.96356e-02   3.95279e-04   1.28841e-03  
1.00000e-02   4.80000e+00   2.83134e-04   3.03490e-01   5.19636e-01   4.84358e-02   3.92774e-04   1.28650e-03  
1.00000e-02   4.90000e+00   2.80527e-04   3.01320e-01   5.14183e-01   4.73234e-02   3.91215e-04   1.28954e-03  
1.00000e-02   5.00000e+00   2.77174e-04   2.97290e-01   5.07555e-01   4.62747e-02   3.89055e-04   1.28849e-03  
1.00000e-02   5.10000e+00   2.74380e-04   2.95120e-01   5.01837e-01   4.52069e-02   3.87321e-04   1.29047e-03  
1.00000e-02   5.20000e+00   2.71027e-04   2.91090e-01   4.95243e-01   4.41930e-02   3.85126e-04   1.28924e-03  
1.00000e-02   5.30000e+00   2.68419e-04   2.88920e-01   4.89868e-01   4.31580e-02   3.83507e-04   1.29206e-03  
1.00000e-02   5.40000e+00   2.65439e-04   2.86750e-01   4.83990e-01   4.22397e-02   3.81545e-04   1.29153e-03  
1.00000e-02   5.50000e+00   2.62831e-04   2.83340e-01   4.78690e-01   4.12798e-02   3.79882e-04   1.29362e-03  
1.00000e-02   5.60000e+00   2.60223e-04   2.80240e-01   4.73426e-01   4.03560e-02   3.78198e-04   1.29536e-03  
1.00000e-02   5.70000e+00   2.57988e-04   2.78380e-01   4.68853e-01   3.95028e-02   3.76774e-04   1.29803e-03  
1.00000e-02   5.80000e+00   2.54076e-04   2.75590e-01   4.61470e-01   3.86303e-02   3.74017e-04   1.29271e-03  
1.00000e-02   5.90000e+00   2.51841e-04   2.73730e-01   4.56944e-01   3.78238e-02   3.72558e-04   1.29492e-03  
1.00000e-02   6.00000e+00   2.49605e-04   2.72180e-01   4.52395e-01   3.69946e-02   3.71104e-04   1.29773e-03  
1.00000e-02   6.10000e+00   2.48488e-04   2.71250e-01   4.49754e-01   3.62143e-02   3.70525e-04   1.30577e-03  
1.00000e-02   6.20000e+00   2.46066e-04   2.70010e-01   4.44955e-01   3.54447e-02   3.68888e-04   1.30700e-03  
1.00000e-02   6.30000e+00   2.43645e-04   2.67530e-01   4.40217e-01   3.47371e-02   3.67218e-04   1.30725e-03  
1.00000e-02   6.40000e+00   2.42527e-04   2.66290e-01   4.37635e-01   3.40152e-02   3.66610e-04   1.31499e-03  
1.00000e-02   6.50000e+00   2.39174e-04   2.64430e-01   4.31397e-01   3.33568e-02   3.64146e-04   1.30955e-03  
1.00000e-02   6.60000e+00   2.37498e-04   2.63810e-01   4.27863e-01   3.26130e-02   3.63084e-04   1.31511e-03  
1.00000e-02   6.70000e+00   2.34331e-04   2.61330e-01   4.21941e-01   3.19605e-02   3.60748e-04   1.31076e-03  
1.00000e-02   6.80000e+00   2.32468e-04   2.60090e-01   4.18176e-01   3.12964e-02   3.59488e-04   1.31407e-03  
1.00000e-02   6.90000e+00   2.31723e-04   2.59470e-01   4.16303e-01   3.06632e-02   3.59141e-04   1.32331e-03  
1.00000e-02   7.00000e+00   2.29674e-04   2.56680e-01   4.12280e-01   3.00500e-02   3.57698e-04   1.32492e-03  
1.00000e-02   7.10000e+00   2.27998e-04   2.55130e-01   4.08900e-01   2.94605e-02   3.56551e-04   1.32834e-03  
1.00000e-02   7.20000e+00   2.27066e-04   2.53890e-01   4.06754e-01   2.88644e-02   3.56030e-04   1.33651e-03  
1.00000e-02   7.30000e+00   2.26135e-04   2.52960e-01   4.04697e-01   2.83565e-02   3.55470e-04   1.34289e-03  
1.00000e-02   7.40000e+00   2.24459e-04   2.51720e-01   4.01355e-01   2.78052e-02   3.54300e-04   1.34609e-03  
1.00000e-02   7.50000e+00   2.22410e-04   2.49550e-01   3.97381e-01   2.72411e-02   3.52817e-04   1.34754e-03  
1.00000e-02   7.60000e+00   2.20919e-04   2.48000e-01   3.94315e-01   2.66546e-02   3.51813e-04   1.35315e-03  
1.00000e-02   7.70000e+00   2.19243e-04   2.45830e-01   3.91055e-01   2.61850e-02   3.50596e-04   1.35488e-03  
1.00000e-02   7.80000e+00   2.17380e-04   2.43660e-01   3.87535e-01   2.57650e-02   3.49192e-04   1.35427e-03  
1.00000e-02   7.90000e+00   2.15517e-04   2.41490e-01   3.84004e-01   2.53337e-02   3.47788e-04   1.35405e-03  
1.00000e-02   8.00000e+00   2.14400e-04   2.40250e-01   3.81761e-01   2.49509e-02   3.46999e-04   1.35732e-03  
1.00000e-02   8.10000e+00   2.12351e-04   2.38700e-01   3.77910e-01   2.45101e-02   3.45430e-04   1.35638e-03  
1.00000e-02   8.20000e+00   2.10674e-04   2.36840e-01   3.74703e-01   2.40929e-02   3.44166e-04   1.35727e-03  
1.00000e-02   8.30000e+00   2.09557e-04   2.35910e-01   3.72422e-01   2.36719e-02   3.43387e-04   1.36202e-03  
1.00000e-02   8.40000e+00   2.08625e-04   2.34670e-01   3.70430e-01   2.32297e-02   3.42779e-04   1.36882e-03  
1.00000e-02   8.50000e+00   2.06949e-04   2.33740e-01   3.67278e-01   2.28676e-02   3.41481e-04   1.36852e-03  
1.00000e-02   8.60000e+00   2.05459e-04   2.31880e-01   3.64399e-01   2.24689e-02   3.40358e-04   1.37067e-03  
1.00000e-02   8.70000e+00   2.04900e-04   2.30950e-01   3.63025e-01   2.20250e-02   3.40074e-04   1.38065e-03  
1.00000e-02   8.80000e+00   2.02106e-04   2.27540e-01   3.58049e-01   2.16995e-02   3.37759e-04   1.37200e-03  
1.00000e-02   8.90000e+00   2.00802e-04   2.25990e-01   3.55495e-01   2.13147e-02   3.36784e-04   1.37540e-03  
1.00000e-02   9.00000e+00   1.98567e-04   2.23200e-01   3.51398e-01   2.09378e-02   3.34971e-04   1.37227e-03  
1.00000e-02   9.10000e+00   1.96704e-04   2.20720e-01   3.47890e-01   2.05297e-02   3.33497e-04   1.37285e-03  
1.00000e-02   9.20000e+00   1.94469e-04   2.17620e-01   3.43803e-01   2.01629e-02   3.31661e-04   1.36954e-03  
1.00000e-02   9.30000e+00   1.92233e-04   2.14830e-01   3.39735e-01   1.98149e-02   3.29806e-04   1.36563e-03  
1.00000e-02   9.40000e+00   1.91116e-04   2.14210e-01   3.37545e-01   1.94854e-02   3.28950e-04   1.36912e-03  
1.00000e-02   9.50000e+00   1.89998e-04   2.13280e-01   3.35364e-01   1.91638e-02   3.28089e-04   1.37249e-03  
1.00000e-02   9.60000e+00   1.88880e-04   2.11420e-01   3.33176e-01   1.88363e-02   3.27228e-04   1.37623e-03  
1.00000e-02   9.70000e+00   1.87763e-04   2.10180e-01   3.31008e-01   1.85276e-02   3.26355e-04   1.37943e-03  
1.00000e-02   9.80000e+00   1.87390e-04   2.09560e-01   3.30105e-01   1.82450e-02   3.26153e-04   1.38732e-03  
1.00000e-02   9.90000e+00   1.86273e-04   2.07700e-01   3.27958e-01   1.79577e-02   3.25267e-04   1.39003e-03  
2.00000e-02   0.00000e+00   6.36866e-04   4.40510e-01   1.36363e+00   3.03738e-01   5.45381e-04   1.15558e-03  
2.00000e-02   1.00000e-01   6.34445e-04   4.40510e-01   1.35779e+00   3.01935e-01   5.44473e-04   1.15461e-03  
2.00000e-02   2.00000e-01   6.15631e-04   4.37410e-01   1.30614e+00   2.81591e-01   5.38673e-04   1.16014e-03  
2.00000e-02   3.00000e-01   5.91788e-04   4.32450e-01   1.24652e+00   2.61652e-01   5.30049e-04   1.15692e-03  
2.00000e-02   4.00000e-01   5.72602e-04   4.28110e-01   1.19730e+00   2.44363e-01   5.23300e-04   1.15834e-03  
2.00000e-02   5.00000e-01   5.50808e-04   4.21910e-01   1.14594e+00   2.29270e-01   5.14541e-04   1.15034e-03  
2.00000e-02   6.00000e-01   5.35534e-04   4.18810e-01   1.10713e+00   2.15881e-01   5.08964e-04   1.15260e-03  
