Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   misID(gamma cuts(pt+p+eta))   S/B_EM(gamma cuts(pt+p+eta))  S/sqrt(B+misID)(gamma cuts(pt+p+eta))  
0.00000e+00   6.00000e+00   1.66107e-04   1.38570e-01   2.77394e-01   4.89243e-02   3.15384e-04   7.50975e-04  
0.00000e+00   6.10000e+00   1.64980e-04   1.37330e-01   2.74865e-01   4.79453e-02   3.14682e-04   7.53457e-04  
0.00000e+00   6.20000e+00   1.62726e-04   1.35160e-01   2.70752e-01   4.69317e-02   3.12732e-04   7.51146e-04  
0.00000e+00   6.30000e+00   1.61599e-04   1.33920e-01   2.68156e-01   4.58863e-02   3.12065e-04   7.54394e-04  
0.00000e+00   6.40000e+00   1.60472e-04   1.33300e-01   2.65704e-01   4.49838e-02   3.11316e-04   7.56610e-04  
0.00000e+00   6.50000e+00   1.59346e-04   1.32680e-01   2.63229e-01   4.40591e-02   3.10580e-04   7.59140e-04  
0.00000e+00   6.60000e+00   1.58669e-04   1.32370e-01   2.61416e-01   4.31760e-02   3.10332e-04   7.63611e-04  
0.00000e+00   6.70000e+00   1.57542e-04   1.31440e-01   2.58914e-01   4.22244e-02   3.09613e-04   7.66683e-04  
0.00000e+00   6.80000e+00   1.56416e-04   1.31130e-01   2.56505e-01   4.13647e-02   3.08839e-04   7.69068e-04  
0.00000e+00   6.90000e+00   1.55063e-04   1.31130e-01   2.53811e-01   4.05311e-02   3.07789e-04   7.70220e-04  
0.00000e+00   7.00000e+00   1.53260e-04   1.29270e-01   2.50508e-01   3.97078e-02   3.06209e-04   7.69115e-04  
0.00000e+00   7.10000e+00   1.51908e-04   1.28030e-01   2.47855e-01   3.89146e-02   3.05128e-04   7.70059e-04  
0.00000e+00   7.20000e+00   1.51232e-04   1.27410e-01   2.46259e-01   3.82488e-02   3.04752e-04   7.73275e-04  
